,Unnamed: 0,disease,workout
129,129,تآكل الفقرات العنقية,المشاركة في التمارين الرياضية بانتظام
130,130,الشلل (نزيف المخ),اتباع نظام غذائي متوازن ومغذٍ
131,131,الشلل (نزيف المخ),إضافة البروتينات الخالية من الدهون
132,132,الشلل (نزيف المخ),تناول الأطعمة الغنية بالعناصر الغذائية
133,133,الشلل (نزيف المخ),الحفاظ على رطوبة الجسم
134,134,الشلل (نزيف المخ),إضافة الدهون الصحية
135,135,الشلل (نزيف المخ),الحد من الأطعمة والمشروبات السكرية
136,136,الشلل (نزيف المخ),إضافة مضادات الأكسدة
137,137,الشلل (نزيف المخ),تناول الأطعمة الغنية بفيتامين ك
138,138,الشلل (نزيف المخ),استشارة أخصائي الرعاية الصحية
139,139,الشلل (نزيف المخ),إدارة الإجهاد
140,140,اليرقان,الحفاظ على رطوبة الجسم
141,141,اليرقان,تناول الأطعمة الغنية بالعناصر الغذائية
142,142,اليرقان,إضافة الأطعمة الغنية بالبروتين
143,143,اليرقان,تناول الأطعمة سهلة الهضم
144,144,اليرقان,الحد من الأطعمة الدهنية
145,145,اليرقان,تجنب الكحول والكافيين
146,146,اليرقان,إضافة الأطعمة الغنية بفيتامين سي
147,147,اليرقان,استشارة أخصائي الرعاية الصحية
148,148,اليرقان,الراحة والحفاظ على الطاقة
149,149,اليرقان,استئناف النظام الغذائي الطبيعي تدريجيًا
150,150,الملاريا,الحفاظ على رطوبة الجسم
151,151,الملاريا,تناول الأطعمة الغنية بالعناصر الغذائية
152,152,الملاريا,إضافة الأطعمة الغنية بالبروتين
153,153,الملاريا,تناول الأطعمة الغنية بمضادات الأكسدة
154,154,الملاريا,الحد من الأطعمة الدهنية والدسمة
155,155,الملاريا,تجنب الكحول والكافيين
156,156,الملاريا,إضافة الأطعمة الغنية بفيتامين سي
157,157,الملاريا,استشارة أخصائي الرعاية الصحية
158,158,الملاريا,الراحة والحفاظ على الطاقة
159,159,الملاريا,استئناف النظام الغذائي الطبيعي تدريجيًا
160,160,جدري الماء,الحفاظ على رطوبة الجسم
161,161,جدري الماء,إضافة الأطعمة سهلة الهضم
162,162,جدري الماء,إضافة الأطعمة الغنية بفيتامين سي
163,163,جدري الماء,تناول الأطعمة الغنية بالبروتين
164,164,جدري الماء,إضافة الأطعمة الغنية بالزنك
165,165,جدري الماء,تجنب الأطعمة الحارة والحمضية
166,166,جدري الماء,استشارة أخصائي الرعاية الصحية
167,167,جدري الماء,ممارسة النظافة الجيدة
168,168,جدري الماء,الراحة والحفاظ على الطاقة
169,169,جدري الماء,استئناف النظام الغذائي الطبيعي تدريجيًا
170,170,حمى الضنك,الحفاظ على رطوبة الجسم
171,171,حمى الضنك,إضافة الأطعمة الغنية بالعناصر الغذائية
172,172,حمى الضنك,تناول الأطعمة الغنية بفيتامين سي ومضادات الأكسدة
173,173,حمى الضنك,الحد من الأطعمة الدهنية والدسمة
174,174,حمى الضنك,تجنب الكافيين والكحول
175,175,حمى الضنك,إضافة الأطعمة اللينة وسهلة الهضم
176,176,حمى الضنك,استشارة أخصائي الرعاية الصحية
177,177,حمى الضنك,الراحة والحفاظ على الطاقة
178,178,حمى الضنك,استئناف النظام الغذائي الطبيعي تدريجيًا
179,179,حمى الضنك,اتباع التوصيات الطبية
180,180,التيفوئيد,تناول الأطعمة سهلة الهضم
181,181,التيفوئيد,الحفاظ على رطوبة الجسم
182,182,التيفوئيد,إضافة الأطعمة الغنية بالعناصر الغذائية
183,183,التيفوئيد,تناول الأطعمة الغنية بفيتامين سي ومضادات الأكسدة
184,184,التيفوئيد,إضافة الأطعمة الغنية بالبروتين
185,185,التيفوئيد,تجنب الأطعمة الدهنية والدسمة
186,186,التيفوئيد,استشارة أخصائي الرعاية الصحية
187,187,التيفوئيد,استئناف النظام الغذائي الطبيعي تدريجيًا
188,188,التيفوئيد,اتباع التوصيات الطبية
189,189,التيفوئيد,تجنب الكحول والكافيين
190,190,التهاب الكبد أ,الحفاظ على رطوبة الجسم
191,191,التهاب الكبد أ,تناول الأطعمة الغنية بالعناصر الغذائية
192,192,التهاب الكبد أ,إضافة الأطعمة الغنية بالبروتين
193,193,التهاب الكبد أ,تناول الأطعمة سهلة الهضم
194,194,التهاب الكبد أ,الحد من الأطعمة الدهنية
195,195,التهاب الكبد أ,تجنب الكحول والكافيين
196,196,التهاب الكبد أ,إضافة الأطعمة الغنية بفيتامين سي
197,197,التهاب الكبد أ,استشارة أخصائي الرعاية الصحية
198,198,التهاب الكبد أ,الراحة والحفاظ على الطاقة
199,199,التهاب الكبد أ,استئناف النظام الغذائي الطبيعي تدريجيًا
200,200,التهاب الكبد ب,اتباع نظام غذائي متوازن ومغذٍ
201,201,التهاب الكبد ب,الحفاظ على رطوبة الجسم
202,202,التهاب الكبد ب,إضافة الأطعمة الغنية بالبروتين
203,203,التهاب الكبد ب,تناول الأطعمة الغنية بالعناصر الغذائية
204,204,التهاب الكبد ب,الحد من الأطعمة الدهنية
205,205,التهاب الكبد ب,تجنب الكحول والكافيين
206,206,التهاب الكبد ب,إضافة الأطعمة الغنية بفيتامين سي
207,207,التهاب الكبد ب,استشارة أخصائي الرعاية الصحية
208,208,التهاب الكبد ب,الراحة والحفاظ على الطاقة
209,209,التهاب الكبد ب,استئناف النظام الغذائي الطبيعي تدريجيًا
210,210,التهاب الكبد ج,اتباع نظام غذائي متوازن ومغذٍ
211,211,التهاب الكبد ج,الحفاظ على رطوبة الجسم
212,212,التهاب الكبد ج,إضافة الأطعمة الغنية بالبروتين
213,213,التهاب الكبد ج,تناول الأطعمة الغنية بالعناصر الغذائية
214,214,التهاب الكبد ج,الحد من الأطعمة الدهنية
215,215,التهاب الكبد ج,تجنب الكحول والكافيين
216,216,التهاب الكبد ج,إضافة الأطعمة الغنية بفيتامين سي
217,217,التهاب الكبد ج,استشارة أخصائي الرعاية الصحية
218,218,التهاب الكبد ج,الراحة والحفاظ على الطاقة
219,219,التهاب الكبد ج,استئناف النظام الغذائي الطبيعي تدريجيًا
220,220,التهاب الكبد د,اتباع نظام غذائي متوازن ومغذٍ
221,221,التهاب الكبد د,الحفاظ على رطوبة الجسم
222,222,التهاب الكبد د,إضافة الأطعمة الغنية بالبروتين
223,223,التهاب الكبد د,تناول الأطعمة الغنية بالعناصر الغذائية
224,224,التهاب الكبد د,الحد من الأطعمة الدهنية
225,225,التهاب الكبد د,تجنب الكحول والكافيين
226,226,التهاب الكبد د,إضافة الأطعمة الغنية بفيتامين سي
227,227,التهاب الكبد د,استشارة أخصائي الرعاية الصحية
228,228,التهاب الكبد د,الراحة والحفاظ على الطاقة
229,229,التهاب الكبد د,استئناف النظام الغذائي الطبيعي تدريجيًا
230,230,التهاب الكبد ه,الحفاظ على رطوبة الجسم
231,231,التهاب الكبد ه,تناول الأطعمة الغنية بالعناصر الغذائية
232,232,التهاب الكبد ه,إضافة الأطعمة الغنية بالبروتين
233,233,التهاب الكبد ه,تناول الأطعمة سهلة الهضم
234,234,التهاب الكبد ه,الحد من الأطعمة الدهنية
235,235,التهاب الكبد ه,تجنب الكحول والكافيين
236,236,التهاب الكبد ه,إضافة الأطعمة الغنية بفيتامين سي
237,237,التهاب الكبد ه,استشارة أخصائي الرعاية الصحية
238,238,التهاب الكبد ه,الراحة والحفاظ على الطاقة
239,239,التهاب الكبد ه,استئناف النظام الغذائي الطبيعي تدريجيًا
240,240,التهاب الكبد الكحولي,تجنب استهلاك الكحول
241,241,التهاب الكبد الكحولي,اتباع نظام غذائي متوازن ومغذٍ
242,242,التهاب الكبد الكحولي,الحفاظ على رطوبة الجسم
243,243,التهاب الكبد الكحولي,تناول الأطعمة الغنية بالعناصر الغذائية
244,244,التهاب الكبد الكحولي,إضافة الأطعمة الغنية بالبروتين
245,245,التهاب الكبد الكحولي,الحد من الأطعمة الدهنية
246,246,التهاب الكبد الكحولي,إضافة مضادات الأكسدة
247,247,التهاب الكبد الكحولي,استشارة أخصائي الرعاية الصحية
248,248,التهاب الكبد الكحولي,الراحة والحفاظ على الطاقة
249,249,التهاب الكبد الكحولي,استئناف النظام الغذائي الطبيعي تدريجيًا
250,250,السل,تناول نظام غذائي غني بالبروتين
251,251,السل,إضافة الأطعمة الغنية بالعناصر الغذائية
252,252,السل,الحفاظ على رطوبة الجسم
253,253,السل,تناول الأطعمة الغنية بفيتامينات أ و سي
254,254,السل,إضافة الأطعمة الغنية بالزنك
255,255,السل,الحد من الأطعمة والمشروبات السكرية
256,256,السل,استشارة أخصائي الرعاية الصحية
257,257,السل,الراحة والحفاظ على الطاقة
258,258,السل,استئناف النظام الغذائي الطبيعي تدريجيًا
259,259,السل,اتباع التوصيات الطبية
260,260,نزلة البرد,الحفاظ على رطوبة الجسم
261,261,نزلة البرد,إضافة الأطعمة الغنية بالعناصر الغذائية
262,262,نزلة البرد,تناول الأطعمة الغنية بفيتامين سي ومضادات الأكسدة
263,263,نزلة البرد,إضافة الأطعمة الغنية بالزنك
264,264,نزلة البرد,الحد من الأطعمة والمشروبات السكرية
265,265,نزلة البرد,تناول حساء الدجاج
266,266,نزلة البرد,استشارة أخصائي الرعاية الصحية
267,267,نزلة البرد,الراحة والحفاظ على الطاقة
268,268,نزلة البرد,استئناف النظام الغذائي الطبيعي تدريجيًا
269,269,نزلة البرد,اتباع التوصيات الطبية
270,270,الالتهاب الرئوي,الحفاظ على رطوبة الجسم
271,271,الالتهاب الرئوي,إضافة الأطعمة الغنية بالعناصر الغذائية
272,272,الالتهاب الرئوي,تناول الأطعمة الغنية بفيتامين سي ومضادات الأكسدة
273,273,الالتهاب الرئوي,إضافة الأطعمة الغنية بالزنك
274,274,الالتهاب الرئوي,الحد من الأطعمة والمشروبات السكرية
275,275,الالتهاب الرئوي,تناول حساء الدجاج
276,276,الالتهاب الرئوي,استشارة أخصائي الرعاية الصحية
277,277,الالتهاب الرئوي,الراحة والحفاظ على الطاقة
278,278,الالتهاب الرئوي,استئناف النظام الغذائي الطبيعي تدريجيًا
279,279,الالتهاب الرئوي,اتباع التوصيات الطبية
280,280,البواسير,تناول الأطعمة الغنية بالألياف
281,281,البواسير,الحفاظ على رطوبة الجسم
282,282,البواسير,إضافة الأطعمة الغنية بالعناصر الغذائية
283,283,البواسير,تناول الأطعمة الغنية بالفلافونويد
284,284,البواسير,الحد من الأطعمة المصنعة
285,285,البواسير,تجنب الأطعمة الحارة والدسمة
286,286,البواسير,استشارة أخصائي الرعاية الصحية
287,287,البواسير,ممارسة النظافة الجيدة
288,288,البواسير,استئناف النظام الغذائي الطبيعي تدريجيًا
289,289,البواسير,اتباع التوصيات الطبية
290,290,النوبة القلبية,اتباع نظام غذائي صحي للقلب
291,291,النوبة القلبية,الحد من تناول الصوديوم
292,292,النوبة القلبية,إضافة الأطعمة الغنية بالألياف
293,293,النوبة القلبية,تناول الدهون الصحية
294,294,النوبة القلبية,إضافة البروتينات الخالية من الدهون
295,295,النوبة القلبية,الحد من الأطعمة والمشروبات السكرية
296,296,النوبة القلبية,الحفاظ على رطوبة الجسم
297,297,النوبة القلبية,استشارة أخصائي الرعاية الصحية
298,298,النوبة القلبية,اتباع التوصيات الطبية
299,299,النوبة القلبية,المشاركة في التمارين الرياضية بانتظام
300,300,الدوالي,تناول نظام غذائي غني بالألياف
301,301,الدوالي,الحفاظ على رطوبة الجسم
302,302,الدوالي,إضافة الأطعمة الغنية بالعناصر الغذائية
303,303,الدوالي,تناول الأطعمة الغنية بمضادات الأكسدة
304,304,الدوالي,الحد من تناول الصوديوم
305,305,الدوالي,إضافة الأطعمة الغنية بالفلافونويد
306,306,الدوالي,تجنب الوقوف أو الجلوس لفترات طويلة
307,307,الدوالي,استشارة أخصائي الرعاية الصحية
308,308,الدوالي,اتباع التوصيات الطبية
309,309,الدوالي,المشاركة في التمارين الرياضية بانتظام
310,310,قصور الغدة الدرقية,إضافة الأطعمة الغنية باليود
311,311,قصور الغدة الدرقية,تناول الأطعمة الغنية بالسيلينيوم
312,312,قصور الغدة الدرقية,الحفاظ على رطوبة الجسم
313,313,قصور الغدة الدرقية,إضافة الأطعمة الغنية بالعناصر الغذائية
314,314,قصور الغدة الدرقية,الحد من الأطعمة المصنعة
315,315,قصور الغدة الدرقية,تناول الأطعمة الغنية بفيتامينات ب و د
316,316,قصور الغدة الدرقية,استشارة أخصائي الرعاية الصحية
317,317,قصور الغدة الدرقية,اتباع التوصيات الطبية
318,318,قصور الغدة الدرقية,الحفاظ على وزن ثابت
319,319,قصور الغدة الدرقية,المشاركة في التمارين الرياضية بانتظام
320,320,فرط نشاط الغدة الدرقية,الحد من تناول اليود
321,321,فرط نشاط الغدة الدرقية,تناول الخضروات الصليبية باعتدال
322,322,فرط نشاط الغدة الدرقية,الحفاظ على رطوبة الجسم
323,323,فرط نشاط الغدة الدرقية,إضافة الأطعمة الغنية بالعناصر الغذائية
324,324,فرط نشاط الغدة الدرقية,الحد من الكافيين والكحول
325,325,فرط نشاط الغدة الدرقية,إضافة أحماض أوميغا 3 الدهنية
326,326,فرط نشاط الغدة الدرقية,استشارة أخصائي الرعاية الصحية
327,327,فرط نشاط الغدة الدرقية,اتباع التوصيات الطبية
328,328,فرط نشاط الغدة الدرقية,الحفاظ على وزن ثابت
329,329,فرط نشاط الغدة الدرقية,المشاركة في التمارين الرياضية بانتظام
330,330,نقص سكر الدم,تناول الكربوهيدرات المعقدة
331,331,نقص سكر الدم,إضافة الأطعمة الغنية بالبروتين
332,332,نقص سكر الدم,الحفاظ على رطوبة الجسم
333,333,نقص سكر الدم,الحد من الأطعمة والمشروبات السكرية
334,334,نقص سكر الدم,تناول وجبات ووجبات خفيفة منتظمة
335,335,نقص سكر الدم,استشارة أخصائي الرعاية الصحية
336,336,نقص سكر الدم,مراقبة مستويات السكر في الدم
337,337,نقص سكر الدم,اتباع التوصيات الطبية
338,338,نقص سكر الدم,المشاركة في النشاط البدني بانتظام
339,339,نقص سكر الدم,الحد من تناول الكحول
340,340,التهاب المفاصل العظمي,تناول الأطعمة المضادة للالتهابات
341,341,التهاب المفاصل العظمي,إضافة أحماض أوميغا 3 الدهنية
342,342,التهاب المفاصل العظمي,تناول الأطعمة الغنية بمضادات الأكسدة
343,343,التهاب المفاصل العظمي,الحفاظ على رطوبة الجسم
344,344,التهاب المفاصل العظمي,الحد من الأطعمة المصنعة
345,345,التهاب المفاصل العظمي,إضافة الأطعمة الغنية بفيتامين ك
346,346,التهاب المفاصل العظمي,استشارة أخصائي الرعاية الصحية
347,347,التهاب المفاصل العظمي,اتباع التوصيات الطبية
348,348,التهاب المفاصل العظمي,المشاركة في التمارين الرياضية الخفيفة
349,349,التهاب المفاصل العظمي,الحفاظ على وزن صحي
350,350,التهاب المفاصل,تناول الأطعمة المضادة للالتهابات
351,351,التهاب المفاصل,إضافة أحماض أوميغا 3 الدهنية
352,352,التهاب المفاصل,تناول الأطعمة الغنية بمضادات الأكسدة
353,353,التهاب المفاصل,الحفاظ على رطوبة الجسم
354,354,التهاب المفاصل,الحد من الأطعمة المصنعة
355,355,التهاب المفاصل,إضافة الأطعمة الغنية بفيتامين ك
356,356,التهاب المفاصل,استشارة أخصائي الرعاية الصحية
357,357,التهاب المفاصل,اتباع التوصيات الطبية
358,358,التهاب المفاصل,المشاركة في التمارين الرياضية الخفيفة
359,359,التهاب المفاصل,الحفاظ على وزن صحي
360,360,الدوار الوضعي,"تجنب الأطعمة المحفزة (الكافيين، الكحول)"
361,361,الدوار الوضعي,الحد من تناول الصوديوم
362,362,الدوار الوضعي,الحفاظ على رطوبة الجسم
363,363,الدوار الوضعي,تناول الزنجبيل والجنكة بيلوبا
364,364,الدوار الوضعي,الحد من المحليات الصناعية
365,365,الدوار الوضعي,استشارة أخصائي الرعاية الصحية
366,366,الدوار الوضعي,تجنب حركات الرأس المفاجئة
367,367,الدوار الوضعي,اتباع التوصيات الطبية
368,368,الدوار الوضعي,إدارة الإجهاد
369,369,الدوار الوضعي,الحد من الكافيين والمنبهات
370,370,حب الشباب,تناول نظام غذائي متوازن
371,371,حب الشباب,الحد من منتجات الألبان والأطعمة ذات المؤشر الجلايسيمي المرتفع
372,372,حب الشباب,إضافة مضادات الأكسدة
373,373,حب الشباب,الحفاظ على رطوبة الجسم
374,374,حب الشباب,الحد من الأطعمة المصنعة
375,375,حب الشباب,إضافة الأطعمة الغنية بالزنك
376,376,حب الشباب,استشارة أخصائي العناية بالبشرة
377,377,حب الشباب,ممارسة نظافة جيدة للبشرة
378,378,حب الشباب,الحد من الأطعمة والمشروبات السكرية
379,379,حب الشباب,اتباع التوصيات الطبية
380,380,التهاب المسالك البولية,الحفاظ على رطوبة الجسم
381,381,التهاب المسالك البولية,تناول منتجات التوت البري
382,382,التهاب المسالك البولية,إضافة الأطعمة الغنية بفيتامين سي
383,383,التهاب المسالك البولية,الحد من الكافيين والكحول
384,384,التهاب المسالك البولية,تناول البروبيوتيك
385,385,التهاب المسالك البولية,تجنب الأطعمة الحارة والحمضية
386,386,التهاب المسالك البولية,استشارة أخصائي الرعاية الصحية
387,387,التهاب المسالك البولية,اتباع التوصيات الطبية
388,388,التهاب المسالك البولية,الحفاظ على نظافة جيدة
389,389,التهاب المسالك البولية,الحد من الأطعمة والمشروبات السكرية
390,390,الصدفية,تناول الأطعمة المضادة للالتهابات
391,391,الصدفية,إضافة أحماض أوميغا 3 الدهنية
392,392,الصدفية,إضافة نظائر فيتامين د
393,393,الصدفية,الحد من استهلاك الكحول
394,394,الصدفية,الحفاظ على رطوبة الجسم
395,395,الصدفية,استشارة أخصائي الرعاية الصحية
396,396,الصدفية,الحد من الأطعمة المصنعة
397,397,الصدفية,اتباع التوصيات الطبية
398,398,الصدفية,إدارة الإجهاد
399,399,الصدفية,النظر في العلاج بالضوء تحت إشراف طبي
400,400,القوباء,الحفاظ على نظافة جيدة
401,401,القوباء,الحفاظ على رطوبة الجسم
402,402,القوباء,تناول الأطعمة الغنية بالعناصر الغذائية
403,403,القوباء,الحد من الأطعمة والمشروبات السكرية
404,404,القوباء,إضافة الأطعمة الغنية بفيتامين سي
405,405,القوباء,استشارة أخصائي الرعاية الصحية
406,406,القوباء,اتباع التوصيات الطبية
407,407,القوباء,تجنب الحكة
408,408,القوباء,تناول المضادات الحيوية الموصوفة
409,409,القوباء,ممارسة العناية بالجروح
